Wavelength,Phthalo Blue,Quinacridone Magenta,Arylide (Hansa) yellow,Titanium White
380,0.163807054652518,0.281837612241392,0.512100081314837,0.530000769329713
390,0.241745091616658,0.131111438314082,0.811954107142779,0.227441171751189
400,0.305359695387764,0.0870084668952368,0.996835843174264,0.0498131120761554
410,0.192750528708904,0.0717114066276771,1.03542097315476,0.00576033030453897
420,0.15485987864635,0.0697479076226895,1.14380275493334,0.000366131570197074
430,0.108597813691628,0.0792025880640627,1.26767584763054,0.0000217207774522909
440,0.051224298861441,0.0981992784061137,1.38775581120401,0.00000605125963757896
450,0.0285190556284673,0.125923582081658,1.48049450104339,0.00000337163235815604
460,0.025338543808882,0.162523140352953,1.56509313300391,0.00000349994269723134
470,0.027897833065402,0.20905528550289,1.64537098200568,0.00000573282062197724
480,0.0374983392246451,0.277696638229397,1.60771582294544,0.00000583632497383569
490,0.0581159578914942,0.36805648262079,1.23476290443795,0.00000789425609270285
500,0.0928046300352095,0.455802722664933,0.552126302713133,0.00000881093187457671
510,0.136087752383197,0.573752352405865,0.112331062731325,0.00000948797883015497
520,0.22342681455087,0.806135167806213,0.0229304072941642,0.0000120087957102917
530,0.371032436021967,1.06269114839772,0.00500753830266314,0.0000112716334893538
540,0.60941930650713,1.12167008362939,0.00128547365574166,0.0000120685827448888
550,1.0062765542638,1.08438041858491,0.000509307453590994,0.000014148544896032
560,1.64206261032783,1.13962715013086,0.000307730006717255,0.0000175276099827109
570,2.45809837445479,1.01370548237005,0.000228204709284443,0.0000185529390077058
580,3.23330323388669,0.599388626891353,0.000182383391297429,0.000020156631008877
590,3.84511678498545,0.27359067919045,0.00015722690950228,0.0000238469199482284
600,4.50757263328167,0.110808686386633,0.000137001467306171,0.0000256222124635562
610,5.11385668855475,0.0440067234402891,0.000126900159288766,0.0000295602961060648
620,5.3773552622993,0.0180215450125988,0.000113462317995942,0.0000299353900951367
630,5.50237300461803,0.00878653915877977,0.0000973201365027879,0.0000292076538637935
640,5.52862112143918,0.00510148866619555,0.0000853528527658461,0.0000288941383383219
650,5.31702405461351,0.00344223353350149,0.0000815868187082281,0.0000264109710415787
660,4.97493567552536,0.00256540627020589,0.0000666796560332411,0.0000246097905794744
670,4.93574270034467,0.00210959064307388,0.0000610226186316512,0.0000244348481085013
680,5.19023639723776,0.00183475818495298,0.0000617024155354409,0.0000260244699609715
690,5.63972307223242,0.00163874248664972,0.0000595032155240964,0.0000282723593948068
700,6.27604097170604,0.00143442681502309,0.0000565189518580758,0.0000267212009146302
710,6.88327039895335,0.00130004451748527,0.0000528966316666848,0.0000273610952334719
720,6.62192020500936,0.00113977846005391,0.0000464661807975364,0.0000252046493198042
730,5.53969539126441,0.00102430527172509,0.0000391244360338891,0.0000230989707687595
740,3.63707452960493,0.000902325886798702,0.0000314499697904531,0.0000182915524630804
750,1.88036408410572,0.000789965518470414,0.0000209850761970231,0.0000124765801191801